Title,Authors,Pubhouse,NewPrice,OldPrice,Discount
Методы восстановления непараметрической регрессии в условиях несбалансированных данных. Монография,"Пылов Петр Андреевич, Дягилева Анна Владимировна, Майтак Роман Вячеславович",Инфра-Инженерия,992,1 803,45
Азбука программирования игр в UNITY 3D,Рубочкин Владимир,Солон-пресс,615,1 118,45
C++ для начинающих,Шилдт Герберт,Питер : Библиотека программиста,1 812,2 323,22
"Знакомьтесь, Python. Секреты профессии",Павлов Евгений Иванович,АСТ : Программирование для всех,624,1 040,40
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М : Высшее образование. Магистратура,5 161,Нет старой цены,Ошибка
Бизнес-разведка 2.2 + OSINT,Доронин Александр Иванович,ДМК-Пресс,2 456,4 466,45
Эволюционное глубокое обучение. Генетические алгоритмыи нейронные сети,Лэнхэм Майкл,ДМК-Пресс,3 071,5 583,45
ESP32-C3. Беспроводное приключение. Полное руководство по IoT,Не указан автор,ДМК-Пресс,2 456,4 466,45
Linux для сетевых инженеров,Ванденбринк Роб,Питер : Библиотека программиста,2 183,2 799,22
Практикум. Демонстрационный экзамен базового уровня. Сетевое и системное администрирование. СПО,Уймин Антон Григорьевич,Лань : Компьютеры и программное обеспечение,1 669,3 035,45
Программная инженерия. Интеграционный подход к разработке. Учебник,"Турнецкая Елена Леонидовна, Аграновский Андрей Владимирович",Лань : Компьютеры и программное обеспечение,1 882,3 422,45
Моделирование информационных систем. Unified Modeling Language. Учебное пособие для вузов,Не указан автор,Лань : Компьютеры и программное обеспечение,872,1 585,45
Ошибки разработчиков видеоигр. От идеи до провала,Грис Слава,АСТ : Видеоигры: глубокое погружение,587,979,40
Искусство Agile-разработки. Теория и практика гибкой разработки ПО,"Шор Джеймс, Уорден Шэйн",Питер : Бестселлеры O`Reilly,2 719,3 486,22
Производство программ. Инженерный подход. Монография,"Охтилев Михаил Юрьевич, Коромысличенко Владислав Николаевич, Охтилев Павел Алексеевич",Инфра-Инженерия,921,1 675,45
BLAZOR в действии,Сэйнти Крис,Солон-пресс,2 456,4 466,45
Сверхбыстрый Python. Эффективные техники для работы с большими наборами данных,Антао Тиаго,ДМК-Пресс,2 764,5 026,45
Грокаем функциональное программирование,Плахта Михаил,Питер : Библиотека программиста,2 410,3 090,22
Информационная безопасность. Защита и нападение,Бирюков Андрей Александрович,ДМК-Пресс,2 303,4 187,45
"Язык C. Мастерство программирования. Принципы, практики и паттерны",Прешерн Кристофер,ДМК-Пресс,2 303,4 187,45
"Java. устранение проблем. Чтение, отладка и оптимизация JVM-приложений",Спилкэ Лауренциу,ДМК-Пресс,2 303,4 187,45
Архитектура встраиваемых систем,Лакамера Даниэле,ДМК-Пресс,2 303,4 187,45
"Проектирование в Платформе nanoCAD с модулями ""механика"" и ""3D"". Учебное пособие",Кувшинов Николай Сергеевич,ДМК-Пресс,1 536,2 793,45
100 ошибок Go и как их избежать,Харшани Тейва,Питер : Для профессионалов,3 334,4 274,22
"Golang для профи. Создаем профессиональные утилиты, параллельные серверы и сервисы",Цукалос Михалис,Питер : Для профессионалов,4 427,5 676,22
Машинное зрение. Основы и алгоритмы с примерами на Matlab,Корк Питер,ДМК-Пресс,3 838,6 979,45
Изучаем RAY. Гибкие распределенные вычисления на Python в машинном обучении,"Пумперла Макс, Оукс Эдвард, Ляо Ричард",ДМК-Пресс,2 149,3 908,45
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань : Учебники для вузов. Специальная литература,1 356,2 466,45
Как создаются игры. Основы разработки для начинающих игроделов,"Радовильский Григорий, Андрианова Наталья Аркадьевна",Бомбора : Российский компьютерный бестселлер,1 037,1 596,35
Разработка SCADA-систем. Учебное пособие,"Кангин Владимир Венедиктович, Кангин Михаил Владимирович, Ямолдинов Дмитрий Николаевич",Инфра-Инженерия,1 752,3 186,45
PHP и MYSQL. Серверная веб-разработка,Дакетт Джон,Бомбора : Мировой компьютерный бестселлер,2 387,3 672,35
Прикладные структуры данных и алгоритмы. Прокачиваем навыки,Венгроу Джей,Питер : Библиотека программиста,2 173,2 786,22
Pyomo. Моделирование оптимизации на Python,"Бинум Майкл Л., Харт Уильям, Хакебейл Габриэль А.",ДМК-Пресс,1 842,3 349,45
Системное программирование,Бизянов Евгений Евгеньевич,Инфра-Инженерия,751,1 366,45
Python. Лучшие практики и инструменты,"Яворски Михал, Зиаде Тарек",Питер : Для профессионалов,3 156,4 046,22
Изучаем vi и Vim. Не просто редакторы,"Роббинс Арнольд, Ханна Элберт",Питер : Библиотека программиста,2 069,2 653,22
Основы вычислений и программирования в пакете MathCAD PRIME. Учебное,"Воскобойников Юрий Евгеньевич, Задорожный Анатолий Филиппович",Лань : Учебники для вузов. Специальная литература,1 953,3 550,45
Современные подходы в программировании при создании интерактивной анимации на С# и Unity,Курбанисмаилов Заур Магомедович,Лань : Компьютеры и программное обеспечение,1 812,3 294,45
"Clojure на производстве. Зипперы, базы данных, REPL",Гришаев Иван,ДМК-Пресс,2 149,3 908,45
Проектирование информационных систем. Основы управления проектами. Лабораторный практикум,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань : Компьютеры и программное обеспечение,768,1 397,45
Компьютерная геометрия и графика в web-разработке. Учебное пособие для СПО,Васильев Николай Павлович,Лань : Компьютеры и программное обеспечение,1 183,2 150,45
Создание игровой логики. Практикум,"Капанов Алексей Александрович, Лямин Александр Сергеевич",Лань : Компьютеры и программное обеспечение,465,845,45
Компьютерное моделирование химико-технологических процессов в программе Aspen Plus,"Перерва Олег Валентинович, Гартман Томаш Николаевич",Лань : Компьютеры и программное обеспечение,2 819,5 126,45
Создание игровой логики. Практикум,"Капанов Алексей Александрович, Лямин Александр Сергеевич",Лань : Компьютеры и программное обеспечение,465,845,45
Компьютерная геометрия и графика в web-разработке. Учебное пособие,Васильев Николай Павлович,Лань : Компьютеры и программное обеспечение,1 359,2 471,45
Разработка защищенных программных средств информатизации производственных процессов предприятия,"Бабушкин Виталий Михайлович, Тумбинская Марина Владимировна",Инфра-Инженерия,1 252,2 276,45
Современный подход к программной архитектуре. Сложные компромиссы,"Ричардс Марк, Форд Нил, Дехгани Жамак",Питер : Для профессионалов,3 047,3 906,22
OpenSSL 3. Ключ к тайнам криптографии,Хлебников Алексей,ДМК-Пресс,2 303,4 187,45
Julia в качестве второго языка,Энгхейм Эрик,ДМК-Пресс,2 918,5 306,45
Защита и укрепление Linux,Треволт Дональд А.,ДМК-Пресс,3 071,5 583,45
JavaScript. Рецепты для разработчиков,"Скотт Адам Д., Пауэрс Шелли, Макдоналд Мэтью",Питер : Бестселлеры O`Reilly,1 955,2 506,22
Искусство чистого кода. Как избавиться от сложности и упростить жизнь,Майер Кристиан,Питер : Библиотека программиста,1 412,1 810,22
Микросервисы. От архитектуры до релиза,"Митра Ронни, Надареишвили Иракли",Питер : Бестселлеры O`Reilly,1 633,2 093,22
"97 вещей, о которых должен знать каждый Java-программист","Хенни Кевлин, Триша Джи",Бомбора : Мировой компьютерный бестселлер,902,1 388,35
Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков,Янка Таня,Бомбора : КиберБез. Лучшие книги о безопасности в сети,995,1 530,35
